CVE_LOC,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,IRS,GRADO_REZAGO,LUGAR_QUE_OCUPA_EN_EL_CONTEXTO_NACIONAL
090090134,"0,0","0,0","21,3","13,6","0,0","0,0","87,5","0,0","0,0","25,0","25,0","-0,76922",Bajo,85.154
090090138,"4,8","4,5","20,2","29,8","0,0","0,0","0,0","0,0","0,0","34,8","15,2","-0,99899",Muy bajo,99.254
090090139,"5,4","0,0","25,4","18,2","0,0","2,5","2,5","0,0","0,0","32,5","22,5","-0,92636",Muy bajo,95.332
090090140,"8,3","0,0","33,3","47,4","0,0","0,0","100,0","16,7","66,7","100,0","100,0","0,82865",Alto,18.585
090090141,"12,5","0,0","25,0","9,1","0,0","0,0","100,0","0,0","0,0","66,7","33,3","-0,28560",Bajo,54.316
090090142,"0,0","0,0","13,3","30,0","0,0","0,0","66,7","16,7","0,0","66,7","33,3","-0,54073",Bajo,69.519
090090147,"0,0","0,0","6,7","34,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-1,44553",Muy bajo,107.849
090090151,"0,0","8,3","18,2","24,0","33,3","0,0","77,8","0,0","11,1","22,2","44,4","-0,36904",Bajo,58.930
090090152,"4,1","3,2","28,0","29,3","1,4","1,0","1,0","2,2","0,1","49,1","38,4","-0,71931",Bajo,81.727
090090154,"1,0","4,8","29,6","44,8","21,9","3,1","84,4","6,3","0,0","37,5","34,4","-0,35395",Bajo,58.073
090090155,"4,5","0,0","41,6","32,5","4,0","0,0","8,0","0,0","0,0","36,0","40,0","-0,67475",Bajo,78.732
090090156,"12,5","0,0","54,2","28,1","11,1","0,0","11,1","0,0","0,0","33,3","11,1","-0,61250",Bajo,74.311
090090158,"5,0","1,8","30,6","37,9","13,3","5,3","34,7","0,0","4,0","61,3","48,0","-0,33099",Bajo,56.822
090090159,"0,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","33,3","66,7","33,3","-0,43659",Bajo,62.852
090090161,"4,2","15,5","32,1","30,8","2,8","6,9","11,1","6,9","1,4","50,0","38,9","-0,49924",Bajo,66.859
090090163,"2,0","2,4","28,1","30,8","1,5","6,0","62,7","6,0","3,0","43,3","32,8","-0,52473",Bajo,68.456
090090166,"0,0","0,0","66,7","100,0","0,0","0,0","100,0","0,0","0,0","0,0","33,3","-0,49225",Bajo,66.430
090090167,"6,4","1,7","41,8","40,9","5,6","1,4","78,9","54,9","0,0","35,2","29,6","-0,17256",Medio,48.773
090090168,"2,3","6,7","28,6","31,4","5,4","1,1","80,5","8,3","1,1","34,3","30,0","-0,50641",Bajo,67.304
090090169,"2,2","0,0","21,6","29,3","2,1","0,0","2,1","0,0","0,0","38,3","19,1","-0,97843",Muy bajo,98.258
090090171,"3,9","2,3","21,2","32,9","6,6","0,0","85,2","0,0","0,0","32,8","13,1","-0,69716",Bajo,80.244
