"LLAVE_AGEB","UNIVERSO_ACT_LEGISLATIVAS","UNIVERSO_AGRICULTURA","UNIVERSO_ALOJAMIENTO_ALIMENTOS_Y_BEBIDAS","UNIVERSO_COMERCIO_MAYOREO","UNIVERSO_COMERCIO_AL_POR_MENOR","UNIVERSO_CONSTRUCCION","UNIVERSO_CORPORATIVOS","UNIVERSO_ELECTRICIDAD_AGUA_Y_GAS","UNIVERSO_IND_MANOFACTURA","UNIVERSO_INF_MEDIOS_MASIVOS","UNIVERSO_MINERIA","UNIVERSO_SERVICIOS_EXCEPTO_GUBERNAMENTALES","UNIVERSO_SERVICIOS_CIENTIFICOS","UNIVERSO_SERVICIOS_EDUCACION","UNIVERSO_SERVICIOS_FINANCIEROS_Y_SEGUROS","UNIVERSO_SERVICIOS_INMOBILIARIOS_Y_ALQUILER","UNIVERSO_SERVICIOS_NEGOCIOS","UNIVERSO_SERVICIOS_RECREATIVOS","UNIVERSO_SERVICIOS_SALUD","UNIVERSO_TRANSPORTE_CORREOS_Y_ALMACENAMIENTO"
"150330001053A",0,0,12,3,29,0,0,0,7,0,0,21,2,3,3,1,0,3,4,1
"1503300010544",0,0,10,4,43,0,0,0,5,0,0,28,2,1,0,0,1,4,6,0
"1503300010559",0,0,11,0,32,1,0,0,3,0,0,21,1,4,0,1,0,2,3,0
"1503300010563",0,0,44,4,164,0,0,0,22,0,0,55,5,6,2,3,0,2,14,0
"1503300010578",1,0,45,3,167,0,0,0,21,0,0,62,4,8,1,6,3,6,18,0
"1503300010582",0,0,72,14,287,3,0,1,66,1,0,102,3,9,0,9,9,12,24,4
"1503300010597",1,0,9,2,22,1,0,0,2,0,0,29,0,1,0,1,1,0,9,0
"1503300010614",0,0,33,6,103,0,0,0,31,0,0,48,2,13,5,4,2,4,15,2
"1503300010629",3,0,55,3,148,0,0,0,22,2,0,49,1,16,20,3,6,4,15,1
"1503300010633",0,0,19,0,91,2,0,0,12,0,0,43,2,4,0,2,2,1,7,0
"1503300010648",0,0,42,7,208,0,0,1,40,3,0,78,8,9,0,10,9,10,29,0
"1503300010667",0,0,23,8,55,1,0,0,38,0,0,25,2,7,11,2,3,1,3,8
"1503300010686",2,0,32,10,172,0,0,1,24,0,0,46,3,8,0,3,5,2,13,1
"1503300010703",1,0,46,8,162,0,0,0,33,0,0,50,3,12,10,0,4,0,19,1
"1503300010718",1,0,19,2,40,1,0,0,9,0,0,19,0,4,0,1,1,2,7,0
"1503300010722",1,0,52,7,313,0,0,0,31,0,0,48,5,13,1,3,4,5,21,0
"1503300010737",1,0,37,3,244,1,0,0,29,1,0,40,3,10,2,1,4,2,10,0
"1503300010741",1,0,19,6,105,0,0,1,17,0,0,39,3,5,1,2,4,3,9,0
"1503300010756",0,0,38,9,153,0,0,0,21,1,0,40,7,3,2,2,9,6,24,0
"1503300010760",0,0,44,16,165,0,0,0,22,0,0,62,4,15,1,6,2,2,9,2
"150330001078A",2,0,61,64,220,0,0,4,77,0,0,110,7,9,20,4,9,3,14,18
"1503300010794",1,0,21,8,39,0,0,0,6,0,0,10,3,1,5,0,1,0,0,2
"1503300010807",2,0,36,9,164,1,0,1,29,0,0,71,0,8,0,4,3,6,7,1
"1503300010811",0,0,16,4,82,0,0,0,24,0,0,30,3,3,0,7,2,1,13,0
"1503300010826",2,0,27,6,95,1,0,0,25,0,0,39,3,13,3,6,4,3,17,2
"1503300010830",2,0,38,8,154,0,0,0,22,0,0,50,1,6,0,3,4,3,12,0
"1503300010845",1,0,27,24,121,0,0,0,72,1,0,36,1,4,2,5,4,4,2,6
"150330001085A",1,0,41,5,250,0,0,0,31,2,0,63,2,6,0,2,5,4,11,0
"1503300010864",3,0,22,1,104,0,0,0,29,0,0,36,7,8,0,0,3,3,9,0
"1503300010879",2,0,25,3,158,1,0,0,24,0,0,42,4,6,0,4,3,3,10,0
"1503300010883",0,0,27,3,108,0,0,0,23,0,0,44,0,6,0,0,1,3,8,0
"1503300010898",0,0,19,10,78,0,0,0,26,0,0,18,0,0,0,3,1,1,1,7
"1503300010900",0,0,29,5,156,0,0,0,50,1,0,58,2,5,0,6,1,6,12,0
"1503300010915",0,0,39,7,154,0,0,0,24,0,0,40,1,4,0,3,7,3,4,0
"1503300010934",0,0,37,6,126,3,0,1,25,0,0,57,1,17,2,5,1,6,12,1
"1503300010949",0,0,26,6,100,0,0,0,19,1,0,47,2,7,0,3,4,2,11,0
"1503300010953",0,0,4,1,53,0,0,0,8,0,0,19,1,2,0,1,5,2,5,0
"1503300010968",1,0,7,4,56,0,0,0,8,0,0,29,1,2,0,0,2,1,2,0
"1503300010972",2,0,28,3,163,0,0,0,13,0,0,34,1,2,0,0,1,4,8,1
"1503300010987",1,0,18,27,42,0,0,0,76,0,0,14,3,4,8,1,4,3,1,6
"1503300010991",0,0,13,1,55,0,0,0,23,0,0,32,0,4,0,1,3,1,3,0
"1503300011006",7,0,40,14,165,1,0,1,43,1,0,68,5,16,4,5,10,7,13,3
"1503300011010",4,0,46,23,179,2,0,0,65,1,0,65,4,10,0,2,0,7,16,0
"1503300011025",0,0,16,8,62,2,0,0,20,1,0,48,1,3,0,4,4,8,8,2
"150330001103A",6,0,64,37,144,0,0,0,72,1,0,73,4,2,5,1,4,2,9,10
"1503300011044",2,0,48,9,174,0,0,0,49,3,0,62,5,7,0,3,3,8,14,0
"1503300011059",2,0,34,5,13,0,0,1,11,0,0,6,0,0,10,0,2,1,1,3
"1503300011063",0,0,45,21,191,0,0,0,61,0,0,61,3,8,13,2,7,2,15,1
"1503300011078",0,0,44,28,178,1,0,0,74,0,0,70,6,7,4,4,5,5,15,0
"1503300011082",0,0,34,7,91,2,0,0,22,1,0,61,5,5,0,4,2,4,14,0
"150330001110A",4,0,26,5,103,1,0,1,16,1,0,39,5,5,2,6,2,2,21,1
"1503300011114",0,0,12,6,29,0,0,0,17,0,0,18,1,2,5,0,1,1,1,2
"1503300011148",0,0,42,13,182,0,0,0,40,1,0,65,1,10,0,1,4,5,16,2
"1503300011152",1,0,45,30,151,0,0,0,58,1,0,61,4,8,3,4,6,6,22,1
"1503300011167",0,0,29,20,118,0,0,0,48,0,0,54,1,2,0,2,2,3,6,1
"1503300011186",0,0,36,1,86,0,0,0,11,1,0,54,1,10,2,6,3,2,18,0
"1503300011190",1,0,22,4,114,0,0,0,31,0,0,35,5,12,0,3,3,1,10,0
"1503300011203",0,0,16,2,55,0,0,0,3,0,0,13,3,0,1,0,0,2,2,0
"1503300011218",0,0,5,0,8,0,0,0,2,0,0,9,0,1,0,0,0,0,2,0
"1503300011222",1,0,7,0,23,0,0,0,3,0,0,4,1,4,0,0,1,1,2,0
"1503300011237",0,0,3,0,11,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0
"1503300011241",0,0,3,0,23,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0
"1503300011256",0,0,6,0,51,0,0,0,11,0,0,12,2,2,0,1,1,0,2,0
"1503300011260",0,0,4,1,34,0,0,0,15,0,0,10,1,1,0,0,1,1,1,1
"1503300011275",0,0,31,6,143,0,0,0,21,0,0,31,0,5,0,2,3,6,10,0
"150330001128A",1,0,19,3,70,0,0,0,24,0,0,31,2,1,0,2,2,2,4,0
"1503300011294",3,0,24,8,101,1,0,0,27,1,0,61,0,16,0,1,4,3,7,1
"1503300011311",0,0,14,6,88,2,0,0,17,0,0,45,7,8,1,3,3,0,10,0
"1503300011345",0,0,10,3,60,0,0,0,6,0,0,25,3,3,1,1,0,2,3,0
"150330001135A",2,0,39,14,183,1,0,0,36,2,0,97,7,7,2,3,9,4,8,0
"1503300011383",0,0,11,3,83,0,0,0,12,0,0,36,2,1,0,1,2,0,4,0
"1503300011398",0,0,32,7,143,1,0,0,33,0,0,58,1,3,10,4,2,3,1,1
"1503300011415",3,0,9,1,43,0,0,1,9,0,0,6,6,2,0,1,3,1,16,0
"150330001142A",0,0,37,9,86,0,0,1,15,0,0,32,3,5,1,1,3,2,8,0
"1503300011434",0,0,36,8,190,0,0,0,39,0,0,68,4,6,2,2,4,5,7,1
"1503300011449",0,0,10,6,81,0,0,0,7,0,0,20,0,3,0,0,3,4,8,0
"1503300011468",2,0,15,1,47,0,0,0,9,0,0,21,8,5,0,2,3,2,6,0
"1503300011472",1,0,29,3,73,0,0,0,6,0,0,19,5,17,2,0,3,0,6,0
